#,Created,Link,1. How old are you (1. Age),2. What is your gender? (1. Gender),3. How interested are you in music? (1. Music Interest),4. How much experience do you have in playing music? (1. Experience),5. matrix (1. Harmony),5. matrix (2. Rhythm),5. matrix (3. Musical Intention),5. matrix (4. Subjective Evaluation),6. matrix (1. Harmony),6. matrix (2. Rhythm),6. matrix (3. Musical Intention),6. matrix (4. Subjective Evaluation),7. matrix (1. Harmony),7. matrix (2. Rhythm),7. matrix (3. Musical Intention),7. matrix (4. Subjective Evaluation),8. matrix (1. Harmony),8. matrix (2. Rhythm),8. matrix (3. Musical Intention),8. matrix (4. Subjective Evaluation),9. matrix (1. Harmony),9. matrix (2. Rhythm),9. matrix (3. Musical Intention),9. matrix (4. Subjective Evaluation),10. matrix (1. Harmony),10. matrix (2. Rhythm),10. matrix (3. Musical Intention),10. matrix (4. Subjective Evaluation),11. matrix (1. Harmony),11. matrix (2. Rhythm),11. matrix (3. Musical Intention),11. matrix (4. Subjective Evaluation),12. matrix (1. Harmony),12. matrix (2. Rhythm),12. matrix (3. Musical Intention),12. matrix (4. Subjective Evaluation),13. matrix (1. Harmony),13. matrix (2. Rhythm),13. matrix (3. Musical Intention),13. matrix (4. Subjective Evaluation),14. matrix (1. Harmony),14. matrix (2. Rhythm),14. matrix (3. Musical Intention),14. matrix (4. Subjective Evaluation),15. matrix (1. Harmony),15. matrix (2. Rhythm),15. matrix (3. Musical Intention),15. matrix (4. Subjective Evaluation),16. matrix (1. Harmony),16. matrix (2. Rhythm),16. matrix (3. Musical Intention),16. matrix (4. Subjective Evaluation),17. matrix (1. Harmony),17. matrix (2. Rhythm),17. matrix (3. Musical Intention),17. matrix (4. Subjective Evaluation),18. matrix (1. Harmony),18. matrix (2. Rhythm),18. matrix (3. Musical Intention),18. matrix (4. Subjective Evaluation),19. matrix (1. Harmony),19. matrix (2. Rhythm),19. matrix (3. Musical Intention),19. matrix (4. Subjective Evaluation),20. matrix (1. Harmony),20. matrix (2. Rhythm),20. matrix (3. Musical Intention),20. matrix (4. Subjective Evaluation),21. matrix (1. Harmony),21. matrix (2. Rhythm),21. matrix (3. Musical Intention),21. matrix (4. Subjective Evaluation),22. matrix (1. Harmony),22. matrix (2. Rhythm),22. matrix (3. Musical Intention),22. matrix (4. Subjective Evaluation),23. matrix (1. Harmony),23. matrix (2. Rhythm),23. matrix (3. Musical Intention),23. matrix (4. Subjective Evaluation),24. matrix (1. Harmony),24. matrix (2. Rhythm),24. matrix (3. Musical Intention),24. matrix (4. Subjective Evaluation),25. matrix (1. Harmony),25. matrix (2. Rhythm),25. matrix (3. Musical Intention),25. matrix (4. Subjective Evaluation),26. matrix (1. Harmony),26. matrix (2. Rhythm),26. matrix (3. Musical Intention),26. matrix (4. Subjective Evaluation),27. matrix (1. Harmony),27. matrix (2. Rhythm),27. matrix (3. Musical Intention),27. matrix (4. Subjective Evaluation),28. matrix (1. Harmony),28. matrix (2. Rhythm),28. matrix (3. Musical Intention),28. matrix (4. Subjective Evaluation),29. matrix (1. Harmony),29. matrix (2. Rhythm),29. matrix (3. Musical Intention),29. matrix (4. Subjective Evaluation)
8e93a46e-8890-47f4-abea-e0a5a9752be8,2024-04-18T19:08:45+00:00,https://my.aidaform.com/form/9k2gxv63b3t/response/8e93a46e-8890-47f4-abea-e0a5a9752be8,2 (20-30),2 (Femal),4 (Interested),3 (Amature/Hobby musician ),4 (4),2 (2),3 (3),3 (3),3 (3),4 (4),4 (4),4 (4),4 (4),4 (4),3 (3),3 (3),4 (4),4 (4),3 (3),3 (3),4 (4),4 (4),3 (3),3 (3),3 (3),4 (4),4 (4),4 (4),4 (4),4 (4),3 (3),3 (3),4 (4),3 (3),3 (3),3 (3),3 (3),3 (3),2 (2),3 (3),2 (2),3 (3),2 (2),2 (2),4 (4),4 (4),3 (3),4 (4),4 (4),4 (4),4 (4),4 (4),4 (4),4 (4),3 (3),3 (3),2 (2),3 (3),2 (2),2 (2),2 (2),1 (1),1 (1),2 (2),4 (4),5 (5),4 (4),4 (4),4 (4),4 (4),3 (3),3 (3),2 (2),3 (3),3 (3),2 (2),2 (2),3 (3),3 (3),2 (2),4 (4),4 (4),3 (3),4 (4),4 (4),4 (4),3 (3),3 (3),2 (2),3 (3),2 (2),2 (2),3 (3),3 (3),3 (3),3 (3),1 (1),4 (4),2 (2),2 (2),2 (2),4 (4),3 (3),2 (2)
f83eb157-1fd6-4e1c-b0e3-e26bee052e89,2024-04-18T18:58:39+00:00,https://my.aidaform.com/form/9k2gxv63b3t/response/f83eb157-1fd6-4e1c-b0e3-e26bee052e89,2 (20-30),2 (Femal),4 (Interested),2 (Little muscial experience),3 (3),2 (2),2 (2),3 (3),4 (4),4 (4),3 (3),4 (4),3 (3),4 (4),2 (2),3 (3),5 (5),5 (5),5 (5),5 (5),3 (3),2 (2),3 (3),3 (3),4 (4),5 (5),5 (5),5 (5),4 (4),5 (5),5 (5),5 (5),3 (3),4 (4),5 (5),4 (4),3 (3),3 (3),3 (3),3 (3),2 (2),3 (3),2 (2),2 (2),4 (4),5 (5),5 (5),5 (5),4 (4),3 (3),4 (4),4 (4),4 (4),5 (5),3 (3),4 (4),3 (3),2 (2),3 (3),3 (3),2 (2),2 (2),3 (3),2 (2),3 (3),4 (4),4 (4),4 (4),3 (3),3 (3),2 (2),3 (3),2 (2),3 (3),3 (3),3 (3),2 (2),3 (3),2 (2),3 (3),4 (4),5 (5),5 (5),5 (5),3 (3),4 (4),3 (3),3 (3),3 (3),3 (3),5 (5),3 (3),2 (2),3 (3),2 (2),3 (3),1 (1),1 (1),1 (1),1 (1),1 (1),3 (3),2 (2),2 (2)
23456e04-735a-4eb9-ba33-37b8a8f08007,2024-04-18T15:37:22+00:00,https://my.aidaform.com/form/9k2gxv63b3t/response/23456e04-735a-4eb9-ba33-37b8a8f08007,2 (20-30),2 (Femal),5 (Very Interested),3 (Amature/Hobby musician ),2 (2),2 (2),2 (2),2 (2),3 (3),3 (3),3 (3),3 (3),4 (4),4 (4),4 (4),4 (4),5 (5),5 (5),5 (5),5 (5),3 (3),3 (3),4 (4),3 (3),3 (3),3 (3),3 (3),3 (3),3 (3),4 (4),3 (3),3 (3),3 (3),3 (3),3 (3),3 (3),3 (3),2 (2),2 (2),2 (2),1 (1),2 (2),2 (2),2 (2),3 (3),4 (4),4 (4),3 (3),3 (3),4 (4),3 (3),3 (3),4 (4),4 (4),4 (4),3 (3),4 (4),4 (4),4 (4),4 (4),3 (3),2 (2),3 (3),3 (3),2 (2),2 (2),3 (3),3 (3),3 (3),2 (2),3 (3),2 (2),2 (2),2 (2),3 (3),2 (2),2 (2),2 (2),3 (3),2 (2),4 (4),4 (4),4 (4),4 (4),4 (4),4 (4),4 (4),4 (4),4 (4),5 (5),4 (4),5 (5),4 (4),4 (4),4 (4),4 (4),2 (2),2 (2),3 (3),2 (2),3 (3),3 (3),2 (2),3 (3)
c9efc611-44d5-4635-89e7-cb910081aee8,2024-04-18T13:43:05+00:00,https://my.aidaform.com/form/9k2gxv63b3t/response/c9efc611-44d5-4635-89e7-cb910081aee8,2 (20-30),1 (Male),5 (Very Interested),3 (Amature/Hobby musician ),4 (4),1 (1),3 (3),3 (3),4 (4),2 (2),4 (4),3 (3),4 (4),4 (4),4 (4),4 (4),4 (4),4 (4),4 (4),4 (4),3 (3),4 (4),4 (4),4 (4),2 (2),2 (2),2 (2),2 (2),5 (5),5 (5),5 (5),5 (5),3 (3),3 (3),3 (3),2 (2),2 (2),2 (2),2 (2),2 (2),1 (1),1 (1),1 (1),1 (1),5 (5),5 (5),5 (5),5 (5),3 (3),3 (3),3 (3),3 (3),5 (5),4 (4),5 (5),5 (5),3 (3),3 (3),3 (3),3 (3),1 (1),1 (1),1 (1),1 (1),5 (5),4 (4),5 (5),5 (5),2 (2),2 (2),2 (2),2 (2),1 (1),1 (1),1 (1),1 (1),1 (1),1 (1),1 (1),1 (1),5 (5),5 (5),5 (5),5 (5),5 (5),4 (4),5 (5),5 (5),5 (5),5 (5),5 (5),5 (5),3 (3),3 (3),3 (3),3 (3),1 (1),1 (1),1 (1),1 (1),2 (2),2 (2),3 (3),2 (2)
f9f00394-0ec5-47f5-9f45-25a615e1872e,2024-04-17T14:30:09+00:00,https://my.aidaform.com/form/9k2gxv63b3t/response/f9f00394-0ec5-47f5-9f45-25a615e1872e,4 (40-50),1 (Male),5 (Very Interested),2 (Little muscial experience),2 (2),2 (2),2 (2),2 (2),3 (3),3 (3),3 (3),3 (3),4 (4),3 (3),4 (4),4 (4),4 (4),3 (3),4 (4),4 (4),3 (3),2 (2),1 (1),2 (2),3 (3),2 (2),2 (2),2 (2),3 (3),3 (3),3 (3),4 (4),4 (4),2 (2),2 (2),3 (3),4 (4),3 (3),3 (3),3 (3),3 (3),1 (1),1 (1),1 (1),3 (3),3 (3),2 (2),3 (3),4 (4),4 (4),4 (4),3 (3),4 (4),2 (2),4 (4),3 (3),4 (4),2 (2),3 (3),3 (3),4 (4),1 (1),2 (2),2 (2),4 (4),3 (3),2 (2),2 (2),4 (4),3 (3),3 (3),3 (3),3 (3),2 (2),1 (1),2 (2),4 (4),1 (1),1 (1),2 (2),4 (4),3 (3),3 (3),3 (3),4 (4),4 (4),3 (3),3 (3),5 (5),5 (5),5 (5),5 (5),4 (4),4 (4),2 (2),3 (3),4 (4),1 (1),1 (1),1 (1),4 (4),1 (1),2 (2),2 (2)
d913b619-4438-4aef-ae2a-32420428d07e,2024-04-15T08:32:18+00:00,https://my.aidaform.com/form/9k2gxv63b3t/response/d913b619-4438-4aef-ae2a-32420428d07e,2 (20-30),1 (Male),4 (Interested),2 (Little muscial experience),5 (5),3 (3),3 (3),3 (3),5 (5),3 (3),3 (3),4 (4),3 (3),3 (3),4 (4),2 (2),4 (4),3 (3),2 (2),3 (3),3 (3),3 (3),2 (2),2 (2),5 (5),4 (4),5 (5),5 (5),4 (4),4 (4),4 (4),4 (4),5 (5),3 (3),4 (4),3 (3),3 (3),2 (2),2 (2),2 (2),3 (3),2 (2),2 (2),2 (2),4 (4),4 (4),5 (5),4 (4),3 (3),3 (3),3 (3),3 (3),3 (3),4 (4),4 (4),4 (4),2 (2),3 (3),3 (3),3 (3),3 (3),2 (2),1 (1),2 (2),2 (2),2 (2),2 (2),1 (1),4 (4),3 (3),2 (2),3 (3),2 (2),2 (2),3 (3),2 (2),3 (3),2 (2),3 (3),2 (2),4 (4),3 (3),2 (2),3 (3),4 (4),3 (3),3 (3),3 (3),4 (4),5 (5),5 (5),5 (5),3 (3),3 (3),2 (2),3 (3),2 (2),1 (1),1 (1),1 (1),3 (3),2 (2),2 (2),2 (2)
c2bfb89f-2f64-4819-9762-92b87dd8155a,2024-04-14T14:07:10+00:00,https://my.aidaform.com/form/9k2gxv63b3t/response/c2bfb89f-2f64-4819-9762-92b87dd8155a,2 (20-30),1 (Male),3 (Neutral),2 (Little muscial experience),1 (1),2 (2),1 (1),1 (1),2 (2),2 (2),2 (2),1 (1),3 (3),2 (2),3 (3),2 (2),3 (3),3 (3),3 (3),2 (2),2 (2),2 (2),2 (2),1 (1),2 (2),2 (2),3 (3),1 (1),3 (3),3 (3),3 (3),2 (2),2 (2),3 (3),2 (2),1 (1),3 (3),3 (3),3 (3),2 (2),1 (1),1 (1),1 (1),1 (1),3 (3),2 (2),2 (2),2 (2),2 (2),2 (2),2 (2),1 (1),3 (3),3 (3),3 (3),2 (2),2 (2),3 (3),2 (2),1 (1),1 (1),1 (1),1 (1),1 (1),2 (2),2 (2),2 (2),1 (1),3 (3),2 (2),3 (3),1 (1),2 (2),1 (1),1 (1),1 (1),1 (1),2 (2),1 (1),1 (1),4 (4),4 (4),4 (4),2 (2),3 (3),4 (4),4 (4),2 (2),4 (4),4 (4),4 (4),2 (2),3 (3),3 (3),3 (3),3 (3),1 (1),1 (1),1 (1),1 (1),1 (1),1 (1),1 (1),1 (1)
bb2a4284-8128-464e-8f02-7b64a82f2fff,2024-04-12T10:42:38+00:00,https://my.aidaform.com/form/9k2gxv63b3t/response/bb2a4284-8128-464e-8f02-7b64a82f2fff,2 (20-30),1 (Male),4 (Interested),2 (Little muscial experience),3 (3),4 (4),2 (2),4 (4),3 (3),4 (4),4 (4),3 (3),4 (4),3 (3),4 (4),3 (3),5 (5),3 (3),5 (5),3 (3),4 (4),4 (4),5 (5),4 (4),3 (3),2 (2),2 (2),2 (2),4 (4),3 (3),4 (4),3 (3),4 (4),4 (4),4 (4),4 (4),3 (3),2 (2),2 (2),2 (2),3 (3),4 (4),3 (3),2 (2),5 (5),4 (4),5 (5),5 (5),3 (3),4 (4),4 (4),4 (4),3 (3),2 (2),2 (2),3 (3),2 (2),2 (2),3 (3),3 (3),2 (2),1 (1),1 (1),2 (2),4 (4),3 (3),3 (3),5 (5),3 (3),2 (2),2 (2),3 (3),2 (2),1 (1),2 (2),2 (2),3 (3),2 (2),2 (2),2 (2),5 (5),4 (4),5 (5),5 (5),4 (4),4 (4),3 (3),3 (3),4 (4),4 (4),3 (3),4 (4),3 (3),3 (3),3 (3),3 (3),2 (2),3 (3),3 (3),2 (2),3 (3),3 (3),3 (3),4 (4)
3780b803-6390-4c2f-9084-7d84c39fb7f1,2024-04-12T06:27:43+00:00,https://my.aidaform.com/form/9k2gxv63b3t/response/3780b803-6390-4c2f-9084-7d84c39fb7f1,3 (30-40),1 (Male),3 (Neutral),1 (No music experience),2 (2),2 (2),2 (2),1 (1),2 (2),2 (2),2 (2),1 (1),4 (4),3 (3),4 (4),1 (1),4 (4),4 (4),4 (4),2 (2),2 (2),2 (2),2 (2),1 (1),2 (2),2 (2),2 (2),1 (1),4 (4),4 (4),4 (4),2 (2),3 (3),3 (3),3 (3),1 (1),3 (3),3 (3),3 (3),1 (1),1 (1),1 (1),1 (1),1 (1),3 (3),3 (3),1 (1),1 (1),2 (2),2 (2),3 (3),1 (1),3 (3),3 (3),2 (2),1 (1),2 (2),2 (2),2 (2),1 (1),3 (3),2 (2),2 (2),1 (1),1 (1),2 (2),1 (1),1 (1),2 (2),1 (1),1 (1),1 (1),1 (1),2 (2),2 (2),1 (1),1 (1),2 (2),2 (2),1 (1),2 (2),3 (3),3 (3),1 (1),3 (3),2 (2),2 (2),1 (1),4 (4),4 (4),3 (3),1 (1),3 (3),2 (2),3 (3),1 (1),1 (1),1 (1),1 (1),1 (1),1 (1),1 (1),1 (1),1 (1)
9c3f2132-5978-4d03-aced-c57e475581cc,2024-04-11T16:57:19+00:00,https://my.aidaform.com/form/9k2gxv63b3t/response/9c3f2132-5978-4d03-aced-c57e475581cc,2 (20-30),2 (Femal),4 (Interested),4 (Pro/Semi-Pro musician),2 (2),2 (2),3 (3),2 (2),3 (3),3 (3),4 (4),3 (3),4 (4),4 (4),4 (4),3 (3),4 (4),3 (3),4 (4),3 (3),3 (3),3 (3),3 (3),3 (3),3 (3),3 (3),4 (4),2 (2),4 (4),4 (4),4 (4),3 (3),4 (4),4 (4),4 (4),3 (3),4 (4),3 (3),3 (3),3 (3),2 (2),2 (2),3 (3),2 (2),4 (4),3 (3),4 (4),4 (4),3 (3),3 (3),4 (4),3 (3),4 (4),4 (4),4 (4),4 (4),3 (3),3 (3),3 (3),3 (3),2 (2),2 (2),2 (2),2 (2),3 (3),2 (2),3 (3),2 (2),3 (3),2 (2),3 (3),3 (3),3 (3),3 (3),2 (2),2 (2),3 (3),3 (3),3 (3),2 (2),4 (4),5 (5),4 (4),4 (4),4 (4),4 (4),4 (4),3 (3),4 (4),4 (4),3 (3),3 (3),4 (4),3 (3),3 (3),2 (2),2 (2),2 (2),2 (2),2 (2),3 (3),2 (2),2 (2),2 (2)
